127.0.0.1 - - [04/Dec/2019:08:54:17 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:23 +0530] "GET /BloodBank/Designs/images/testimonial-content-bg.png HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:40 +0530] "GET /BloodBank/Designs/index.jsp HTTP/1.1" 200 35111
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/style.css HTTP/1.1" 200 30055
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/emergency-call.png HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/logo.png HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/js/custom.js HTTP/1.1" 200 5145
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/js/jquery.collapsible.min.js HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/js/jquery.js HTTP/1.1" 200 97184
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/js/swiper.min.js HTTP/1.1" 200 114406
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/cardiogram.png HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/stomach-2.png HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/blood-sample-2.png HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/teeth.png HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/stretcher.png HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/js/circle-progress.min.js HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/js/jquery.countTo.min.js HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/js/jquery.countdown.min.js HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/scanner.png HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/js/jquery.barfiller.js HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/bones.png HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/blood-donation-2.png HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/glasses.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/user-1.jpg HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/user-2.jpg HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/user-3.jpg HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/user-4.jpg HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/news-1.png HTTP/1.1" 200 158859
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/news-2.png HTTP/1.1" 200 165013
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/news-3.png HTTP/1.1" 200 129609
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/hero.jpg HTTP/1.1" 200 120124
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/departments-bg.jpg HTTP/1.1" 200 169756
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/testimonial-bg.jpg HTTP/1.1" 200 97941
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/testimonial-content-bg.png HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/testimonial-p-bg.png HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:41 +0530] "GET /BloodBank/Designs/images/subscribe-bg.png HTTP/1.1" 200 698938
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:43 +0530] "GET /BloodBank/Designs/images/footer-bg.png HTTP/1.1" 200 31299
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:43 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/donor_add.jsp HTTP/1.1" 200 8084
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/images/logo.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/images/logo2.jpg HTTP/1.1" 200 45560
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/images/footer-bg.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:52 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:55:52 +0530] "GET /BloodBank/Blood/donor_add_process.jsp?txtDonorName=Nisha&txtBloodGrp=A%2Bve&gender=Female&age=25&txtPhone=8943086707&txtHeight=162&txtWeight=33 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:55:52 +0530] "GET /BloodBank/authentication/donor_login.jsp HTTP/1.1" 200 4159
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:55:52 +0530] "GET /BloodBank/images/Blood.jpg HTTP/1.1" 200 35779
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "POST /BloodBank/Blood/donor_login_add_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/welcome_donor.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/images/logo1.png HTTP/1.1" 200 237553
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/images/logo8.png HTTP/1.1" 200 22002
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/images/logo10.png HTTP/1.1" 200 33790
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/images/logo13.jfif HTTP/1.1" 200 8025
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/images/logo.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/images/logo15.png HTTP/1.1" 200 39379
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/images/logo7.jpg HTTP/1.1" 200 103572
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/images/footer-bg.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:25 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:37 +0530] "POST /BloodBank/Blood/donor_donationform.jsp HTTP/1.1" 200 8144
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/images/logo.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/images/footer-bg.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:56:38 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/donor_donationform.jsp HTTP/1.1" 200 8144
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/images/logo.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/images/footer-bg.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:04 +0530] "GET /BloodBank/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:05 +0530] "GET /BloodBank/Blood/js/circle-progress.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:05 +0530] "GET /BloodBank/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:05 +0530] "GET /BloodBank/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:05 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:53 +0530] "GET /BloodBank/Blood/donor_donationform_process.jsp?txtDonorId=DNR103&txtDonorName=Nisha&gender=A%2Bve&gender=Female&age=25&txtPhone=8943086707&txtHeight=162.0&txtWeight=33.0&dod=2019-12-05 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:53 +0530] "GET /BloodBank/Blood/welcome_donor.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:53 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:53 +0530] "GET /BloodBank/Blood/js/custom.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:53 +0530] "GET /BloodBank/Blood/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:53 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:53 +0530] "GET /BloodBank/Blood/js/jquery.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:53 +0530] "GET /BloodBank/Blood/js/swiper.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:58:53 +0530] "GET /BloodBank/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1039
